CVE, V3 Score, V3 Vector, V2 Score, V2 Vector
CVE-2020-11899,5.4 MEDIUM,CVSS:3.1/AV:A/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:L,4.8 MEDIUM,(AV:A/AC:L/Au:N/C:N/I:P/A:P)
CVE-2021-20023,4.9 MEDIUM,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:N/A:N,4.0 MEDIUM,(AV:N/AC:L/Au:S/C:P/I:N/A:N)
CVE-2020-17144,8.4 HIGH,CVSS:3.1/AV:N/AC:L/PR:H/UI:R/S:C/C:H/I:H/A:H,6.0 MEDIUM,(AV:N/AC:M/Au:S/C:P/I:P/A:P)
CVE-2020-27930,7.8 HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,6.8 MEDIUM,(AV:N/AC:M/Au:N/C:P/I:P/A:P)
CVE-2021-30713,7.8 HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,4.6 MEDIUM,(AV:L/AC:L/Au:N/C:P/I:P/A:P)
CVE-2021-36742,7.8 HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,4.6 MEDIUM,(AV:L/AC:L/Au:N/C:P/I:P/A:P)
CVE-2019-12991,8.8 HIGH,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,9.0 HIGH,(AV:N/AC:L/Au:S/C:C/I:C/A:C)
CVE-2019-1132,7.8 HIGH,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,7.2 HIGH,(AV:L/AC:L/Au:N/C:C/I:C/A:C)
CVE-2013-5065,N/A,N/A,7.2 HIGH,(AV:L/AC:L/Au:N/C:C/I:C/A:C)
CVE-2019-16759,9.8 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,7.5 HIGH,(AV:N/AC:L/Au:N/C:P/I:P/A:P)
CVE-2020-1464,5.5 MEDIUM,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N,2.1 LOW,(AV:L/AC:L/Au:N/C:N/I:P/A:N)
CVE-2019-1064,7.8 HIGH,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,7.2 HIGH,(AV:L/AC:L/Au:N/C:C/I:C/A:C)
CVE-2015-8651,8.8 HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2018-8373,7.5 HIGH,CVSS:3.0/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H,7.6 HIGH,(AV:N/AC:H/Au:N/C:C/I:C/A:C)
CVE-2014-6352,N/A,N/A,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2019-0676,6.5 MEDIUM,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N,4.3 MEDIUM,(AV:N/AC:M/Au:N/C:P/I:N/A:N)
CVE-2021-25298,8.8 HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,9.0 HIGH,(AV:N/AC:L/Au:S/C:C/I:C/A:C)
CVE-2021-1871,9.8 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,7.5 HIGH,(AV:N/AC:L/Au:N/C:P/I:P/A:P)
CVE-2020-12271,9.8 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,7.5 HIGH,(AV:N/AC:L/Au:N/C:P/I:P/A:P)
CVE-2019-11043,9.8 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,7.5 HIGH,(AV:N/AC:L/Au:N/C:P/I:P/A:P)
CVE-2016-3715,5.5 MEDIUM,CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:H/A:N,5.8 MEDIUM,(AV:N/AC:M/Au:N/C:N/I:P/A:P)
CVE-2013-3906,N/A,N/A,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2015-1642,N/A,N/A,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2022-24682,6.1 MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,4.3 MEDIUM,(AV:N/AC:M/Au:N/C:N/I:P/A:N)
CVE-2021-40449,7.8 HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,4.6 MEDIUM,(AV:L/AC:L/Au:N/C:P/I:P/A:P)
CVE-2019-1214,7.8 HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,7.2 HIGH,(AV:L/AC:L/Au:N/C:C/I:C/A:C)
CVE-2018-1273,9.8 CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,7.5 HIGH,(AV:N/AC:L/Au:N/C:P/I:P/A:P)
CVE-2005-2773,N/A,N/A,7.5 HIGH,(AV:N/AC:L/Au:N/C:P/I:P/A:P)
CVE-2021-30554,8.8 HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,6.8 MEDIUM,(AV:N/AC:M/Au:N/C:P/I:P/A:P)
CVE-2022-22960,7.8 HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,7.2 HIGH,(AV:L/AC:L/Au:N/C:C/I:C/A:C)
CVE-2018-6961,8.1 HIGH,CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,6.8 MEDIUM,(AV:N/AC:M/Au:N/C:P/I:P/A:P)
