CVE, V3 Score, V3 Vector, V2 Score, V2 Vector
CVE-2009-1151,N/A,N/A,7.5 HIGH,(AV:N/AC:L/Au:N/C:P/I:P/A:P)
CVE-2013-2551,N/A,N/A,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2015-1770,N/A,N/A,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2016-7256,8.8 HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2021-30533,6.5 MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:H/A:N,4.3 MEDIUM,(AV:N/AC:M/Au:N/C:N/I:P/A:N)
CVE-2020-4006,9.1 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:H/A:H,9.0 HIGH,(AV:N/AC:L/Au:S/C:C/I:C/A:C)
CVE-2018-6882,6.1 MEDIUM,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,4.3 MEDIUM,(AV:N/AC:M/Au:N/C:N/I:P/A:N)
CVE-2019-18988,7.0 HIGH,CVSS:3.1/AV:L/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H,4.4 MEDIUM,(AV:L/AC:M/Au:N/C:P/I:P/A:P)
CVE-2020-3161,9.8 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,10.0 HIGH,(AV:N/AC:L/Au:N/C:C/I:C/A:C)
CVE-2021-31166,9.8 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,7.5 HIGH,(AV:N/AC:L/Au:N/C:P/I:P/A:P)
CVE-2015-4902,N/A,N/A,5.0 MEDIUM,(AV:N/AC:L/Au:N/C:N/I:P/A:N)
CVE-2016-7892,9.8 CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,10.0 HIGH,(AV:N/AC:L/Au:N/C:C/I:C/A:C)
CVE-2012-1535,N/A,N/A,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2007-5659,N/A,N/A,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2021-35395,9.8 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,10.0 HIGH,(AV:N/AC:L/Au:N/C:C/I:C/A:C)
CVE-2018-8440,7.8 HIGH,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,7.2 HIGH,(AV:L/AC:L/Au:N/C:C/I:C/A:C)
CVE-2009-0563,N/A,N/A,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2019-18426,8.2 HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:L/A:N,5.8 MEDIUM,(AV:N/AC:M/Au:N/C:P/I:P/A:N)
CVE-2017-6327,8.8 HIGH,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,6.5 MEDIUM,(AV:N/AC:L/Au:S/C:P/I:P/A:P)
CVE-2016-7855,8.8 HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2017-12240,9.8 CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,10.0 HIGH,(AV:N/AC:L/Au:N/C:C/I:C/A:C)
CVE-2017-5689,9.8 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,10.0 HIGH,(AV:N/AC:L/Au:N/C:C/I:C/A:C)
CVE-2021-38647,9.8 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,7.5 HIGH,(AV:N/AC:L/Au:N/C:P/I:P/A:P)
CVE-2019-1069,7.8 HIGH,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,7.2 HIGH,(AV:L/AC:L/Au:N/C:C/I:C/A:C)
CVE-2020-16013,8.8 HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,6.8 MEDIUM,(AV:N/AC:M/Au:N/C:P/I:P/A:P)
CVE-2013-4810,N/A,N/A,10.0 HIGH,(AV:N/AC:L/Au:N/C:C/I:C/A:C)
CVE-2018-11776,8.1 HIGH,CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2020-1631,9.8 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,6.8 MEDIUM,(AV:N/AC:M/Au:N/C:P/I:P/A:P)
CVE-2019-0797,7.8 HIGH,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,7.2 HIGH,(AV:L/AC:L/Au:N/C:C/I:C/A:C)
CVE-2013-2729,N/A,N/A,10.0 HIGH,(AV:N/AC:L/Au:N/C:C/I:C/A:C)
CVE-2021-22017,5.3 MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,5.0 MEDIUM,(AV:N/AC:L/Au:N/C:P/I:N/A:N)
CVE-2011-0609,N/A,N/A,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2021-31755,9.8 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,10.0 HIGH,(AV:N/AC:L/Au:N/C:C/I:C/A:C)
CVE-2017-8543,9.8 CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,10.0 HIGH,(AV:N/AC:L/Au:N/C:C/I:C/A:C)
CVE-2019-18187,7.5 HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,5.0 MEDIUM,(AV:N/AC:L/Au:N/C:P/I:N/A:N)
CVE-2019-15949,8.8 HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,9.0 HIGH,(AV:N/AC:L/Au:S/C:C/I:C/A:C)
CVE-2019-13720,8.8 HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,6.8 MEDIUM,(AV:N/AC:M/Au:N/C:P/I:P/A:P)
CVE-2010-4344,N/A,N/A,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2016-3351,3.1 LOW,CVSS:3.0/AV:N/AC:H/PR:N/UI:R/S:U/C:L/I:N/A:N,2.6 LOW,(AV:N/AC:H/Au:N/C:P/I:N/A:N)
CVE-2015-1671,N/A,N/A,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2017-11826,7.8 HIGH,CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2020-14871,10.0 CRITICAL,N/A,10.0 HIGH,(AV:N/AC:L/Au:N/C:C/I:C/A:C)
CVE-2019-7192,9.8 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,7.5 HIGH,(AV:N/AC:L/Au:N/C:P/I:P/A:P)
CVE-2016-0984,9.8 CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,10.0 HIGH,(AV:N/AC:L/Au:N/C:C/I:C/A:C)
CVE-2010-2883,N/A,N/A,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2020-1040,9.0 CRITICAL,CVSS:3.1/AV:A/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,7.7 HIGH,(AV:A/AC:L/Au:S/C:C/I:C/A:C)
CVE-2012-0391,N/A,N/A,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2019-2725,9.8 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,7.5 HIGH,(AV:N/AC:L/Au:N/C:P/I:P/A:P)
CVE-2020-10189,9.8 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,10.0 HIGH,(AV:N/AC:L/Au:N/C:C/I:C/A:C)
CVE-2017-6736,8.8 HIGH,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,9.0 HIGH,(AV:N/AC:L/Au:S/C:C/I:C/A:C)
CVE-2012-0158,N/A,N/A,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2012-5054,N/A,N/A,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2018-0154,7.5 HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.8 HIGH,(AV:N/AC:L/Au:N/C:N/I:N/A:C)
CVE-2015-5122,N/A,N/A,10.0 HIGH,(AV:N/AC:L/Au:N/C:C/I:C/A:C)
CVE-2012-1710,N/A,N/A,7.5 HIGH,(AV:N/AC:L/Au:N/C:P/I:P/A:P)
CVE-2018-19943,5.4 MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:C/C:L/I:L/A:N,3.5 LOW,(AV:N/AC:M/Au:S/C:N/I:P/A:N)
CVE-2018-0156,7.5 HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,7.8 HIGH,(AV:N/AC:L/Au:N/C:N/I:N/A:C)
CVE-2018-0174,8.6 HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:C/C:N/I:N/A:H,7.8 HIGH,(AV:N/AC:L/Au:N/C:N/I:N/A:C)
CVE-2020-0674,7.5 HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H,7.6 HIGH,(AV:N/AC:H/Au:N/C:C/I:C/A:C)
CVE-2021-34486,7.8 HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,4.6 MEDIUM,(AV:L/AC:L/Au:N/C:P/I:P/A:P)
CVE-2019-0708,9.8 CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,10.0 HIGH,(AV:N/AC:L/Au:N/C:C/I:C/A:C)
CVE-2018-14558,9.8 CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,10.0 HIGH,(AV:N/AC:L/Au:N/C:C/I:C/A:C)
CVE-2020-3952,9.8 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,6.8 MEDIUM,(AV:N/AC:M/Au:N/C:P/I:P/A:P)
CVE-2020-8195,6.5 MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,4.0 MEDIUM,(AV:N/AC:L/Au:S/C:P/I:N/A:N)
CVE-2019-1130,7.8 HIGH,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,7.2 HIGH,(AV:L/AC:L/Au:N/C:C/I:C/A:C)
CVE-2013-1690,N/A,N/A,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2019-2215,7.8 HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,4.6 MEDIUM,(AV:L/AC:L/Au:N/C:P/I:P/A:P)
CVE-2015-1635,N/A,N/A,10.0 HIGH,(AV:N/AC:L/Au:N/C:C/I:C/A:C)
CVE-2019-10149,9.8 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,10.0 HIGH,(AV:N/AC:L/Au:N/C:C/I:C/A:C)
CVE-2021-40539,9.8 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,7.5 HIGH,(AV:N/AC:L/Au:N/C:P/I:P/A:P)
CVE-2013-0641,N/A,N/A,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2017-12238,6.5 MEDIUM,CVSS:3.0/AV:A/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.3 LOW,(AV:A/AC:L/Au:N/C:N/I:N/A:P)
CVE-2016-0151,7.8 HIGH,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,7.2 HIGH,(AV:L/AC:L/Au:N/C:C/I:C/A:C)
CVE-2017-11292,8.8 HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,6.5 MEDIUM,(AV:N/AC:L/Au:S/C:P/I:P/A:P)
CVE-2020-14864,7.5 HIGH,N/A,7.8 HIGH,(AV:N/AC:L/Au:N/C:C/I:N/A:N)
CVE-2017-0149,7.5 HIGH,CVSS:3.0/AV:N/AC:H/PR:N/UI:R/S:U/C:H/I:H/A:H,7.6 HIGH,(AV:N/AC:H/Au:N/C:C/I:C/A:C)
CVE-2022-22620,8.8 HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,6.8 MEDIUM,(AV:N/AC:M/Au:N/C:P/I:P/A:P)
CVE-2020-9859,7.8 HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,7.2 HIGH,(AV:L/AC:L/Au:N/C:C/I:C/A:C)
CVE-2010-4345,N/A,N/A,6.9 MEDIUM,(AV:L/AC:M/Au:N/C:C/I:C/A:C)
CVE-2020-10221,8.8 HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,9.0 HIGH,(AV:N/AC:L/Au:S/C:C/I:C/A:C)
CVE-2022-24521,7.8 HIGH,N/A,4.6 MEDIUM,(AV:L/AC:L/Au:N/C:P/I:P/A:P)
CVE-2013-1675,N/A,N/A,4.3 MEDIUM,(AV:N/AC:M/Au:N/C:P/I:N/A:N)
CVE-2020-8655,7.8 HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2018-15811,7.5 HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,5.0 MEDIUM,(AV:N/AC:L/Au:N/C:P/I:N/A:N)
CVE-2021-1879,6.1 MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,4.3 MEDIUM,(AV:N/AC:M/Au:N/C:N/I:P/A:N)
CVE-2015-4495,N/A,N/A,4.3 MEDIUM,(AV:N/AC:M/Au:N/C:P/I:N/A:N)
CVE-2021-22893,10.0 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,7.5 HIGH,(AV:N/AC:L/Au:N/C:P/I:P/A:P)
CVE-2017-8759,7.8 HIGH,CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2017-5070,8.8 HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,6.8 MEDIUM,(AV:N/AC:M/Au:N/C:P/I:P/A:P)
CVE-2017-6077,9.8 CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,10.0 HIGH,(AV:N/AC:L/Au:N/C:C/I:C/A:C)
CVE-2010-1428,N/A,N/A,5.0 MEDIUM,(AV:N/AC:L/Au:N/C:P/I:N/A:N)
CVE-2020-16017,9.6 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:H/I:H/A:H,6.8 MEDIUM,(AV:N/AC:M/Au:N/C:P/I:P/A:P)
CVE-2017-0101,7.8 HIGH,CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,6.8 MEDIUM,(AV:N/AC:M/Au:N/C:P/I:P/A:P)
CVE-2013-0431,N/A,N/A,5.0 MEDIUM,(AV:N/AC:L/Au:N/C:N/I:P/A:N)
CVE-2015-1641,N/A,N/A,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2020-12812,9.8 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,7.5 HIGH,(AV:N/AC:L/Au:N/C:P/I:P/A:P)
CVE-2009-1862,N/A,N/A,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2011-0611,N/A,N/A,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2010-0188,N/A,N/A,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2018-17480,8.8 HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,6.8 MEDIUM,(AV:N/AC:M/Au:N/C:P/I:P/A:P)
CVE-2006-1547,N/A,N/A,7.8 HIGH,(AV:N/AC:L/Au:N/C:N/I:N/A:C)
CVE-2017-0059,4.3 MEDIUM,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:U/C:L/I:N/A:N,4.3 MEDIUM,(AV:N/AC:M/Au:N/C:P/I:N/A:N)
CVE-2022-20703,8.4 HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,7.2 HIGH,(AV:L/AC:L/Au:N/C:C/I:C/A:C)
CVE-2021-21220,8.8 HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,6.8 MEDIUM,(AV:N/AC:M/Au:N/C:P/I:P/A:P)
CVE-2019-9978,6.1 MEDIUM,CVSS:3.0/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,4.3 MEDIUM,(AV:N/AC:M/Au:N/C:N/I:P/A:N)
CVE-2020-6287,10.0 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,10.0 HIGH,(AV:N/AC:L/Au:N/C:C/I:C/A:C)
CVE-2022-1096,8.8 HIGH,N/A,N/A,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
CVE-2019-3568,9.8 CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,7.5 HIGH,(AV:N/AC:L/Au:N/C:P/I:P/A:P)
CVE-2015-0666,N/A,N/A,7.8 HIGH,(AV:N/AC:L/Au:N/C:C/I:N/A:N)
CVE-2021-31201,7.8 HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,4.6 MEDIUM,(AV:L/AC:L/Au:N/C:P/I:P/A:P)
CVE-2021-1732,7.8 HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,4.6 MEDIUM,(AV:L/AC:L/Au:N/C:P/I:P/A:P)
CVE-2017-11317,9.8 CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,7.5 HIGH,(AV:N/AC:L/Au:N/C:P/I:P/A:P)
CVE-2012-3152,N/A,N/A,6.4 MEDIUM,(AV:N/AC:L/Au:N/C:P/I:P/A:N)
CVE-2021-30666,8.8 HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,6.8 MEDIUM,(AV:N/AC:M/Au:N/C:P/I:P/A:P)
CVE-2021-21973,5.3 MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,5.0 MEDIUM,(AV:N/AC:L/Au:N/C:P/I:N/A:N)
CVE-2017-0143,8.1 HIGH,CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2019-1322,7.8 HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,4.6 MEDIUM,(AV:L/AC:L/Au:N/C:P/I:P/A:P)
CVE-2017-12232,6.5 MEDIUM,CVSS:3.0/AV:A/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,6.1 MEDIUM,(AV:A/AC:L/Au:N/C:N/I:N/A:C)
CVE-2019-17558,7.5 HIGH,CVSS:3.1/AV:N/AC:H/PR:L/UI:N/S:U/C:H/I:H/A:H,4.6 MEDIUM,(AV:N/AC:H/Au:S/C:P/I:P/A:P)
CVE-2018-20250,7.8 HIGH,CVSS:3.0/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,6.8 MEDIUM,(AV:N/AC:M/Au:N/C:P/I:P/A:P)
CVE-2020-0069,7.8 HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,7.2 HIGH,(AV:L/AC:L/Au:N/C:C/I:C/A:C)
CVE-2021-26085,5.3 MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,5.0 MEDIUM,(AV:N/AC:L/Au:N/C:P/I:N/A:N)
CVE-2021-25296,8.8 HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,9.0 HIGH,(AV:N/AC:L/Au:S/C:C/I:C/A:C)
CVE-2016-6366,8.8 HIGH,CVSS:3.0/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,8.5 HIGH,(AV:N/AC:M/Au:S/C:C/I:C/A:C)
CVE-2012-0151,N/A,N/A,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2017-5030,8.8 HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,6.8 MEDIUM,(AV:N/AC:M/Au:N/C:P/I:P/A:P)
CVE-2009-0557,N/A,N/A,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2013-7331,N/A,N/A,4.3 MEDIUM,(AV:N/AC:M/Au:N/C:P/I:N/A:N)
CVE-2015-1701,N/A,N/A,7.2 HIGH,(AV:L/AC:L/Au:N/C:C/I:C/A:C)
CVE-2022-0847,7.8 HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,7.2 HIGH,(AV:L/AC:L/Au:N/C:C/I:C/A:C)
CVE-2021-41379,7.8 HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,4.6 MEDIUM,(AV:L/AC:L/Au:N/C:P/I:P/A:P)
CVE-2016-9563,6.5 MEDIUM,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:N/A:N,4.0 MEDIUM,(AV:N/AC:L/Au:S/C:P/I:N/A:N)
CVE-2019-2616,7.2 HIGH,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:C/C:L/I:L/A:N,6.4 MEDIUM,(AV:N/AC:L/Au:N/C:P/I:P/A:N)
CVE-2021-40450,7.8 HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,4.6 MEDIUM,(AV:L/AC:L/Au:N/C:P/I:P/A:P)
CVE-2016-4437,8.1 HIGH,CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,6.8 MEDIUM,(AV:N/AC:M/Au:N/C:P/I:P/A:P)
CVE-2021-28664,8.8 HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,9.0 HIGH,(AV:N/AC:L/Au:S/C:C/I:C/A:C)
CVE-2013-3346,N/A,N/A,10.0 HIGH,(AV:N/AC:L/Au:N/C:C/I:C/A:C)
CVE-2017-0146,8.1 HIGH,CVSS:3.0/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:H,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2021-20016,9.8 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,7.5 HIGH,(AV:N/AC:L/Au:N/C:P/I:P/A:P)
CVE-2016-0040,7.8 HIGH,CVSS:3.0/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,7.2 HIGH,(AV:L/AC:L/Au:N/C:C/I:C/A:C)
CVE-2018-8581,7.4 HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:N,5.8 MEDIUM,(AV:N/AC:M/Au:N/C:P/I:P/A:N)
CVE-2022-1040,9.8 CRITICAL,N/A,7.5 HIGH,(AV:N/AC:L/Au:N/C:P/I:P/A:P)
CVE-2015-2426,N/A,N/A,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2017-0213,4.7 MEDIUM,CVSS:3.0/AV:L/AC:H/PR:L/UI:N/S:U/C:N/I:H/A:N,1.9 LOW,(AV:L/AC:M/Au:N/C:N/I:P/A:N)
CVE-2016-1019,9.8 CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,10.0 HIGH,(AV:N/AC:L/Au:N/C:C/I:C/A:C)
CVE-2020-11651,9.8 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,7.5 HIGH,(AV:N/AC:L/Au:N/C:P/I:P/A:P)
CVE-2022-20708,9.8 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,10.0 HIGH,(AV:N/AC:L/Au:N/C:C/I:C/A:C)
CVE-2014-6324,N/A,N/A,9.0 HIGH,(AV:N/AC:L/Au:S/C:C/I:C/A:C)
CVE-2014-0496,N/A,N/A,10.0 HIGH,(AV:N/AC:L/Au:N/C:C/I:C/A:C)
CVE-2019-10758,9.9 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:H,9.0 HIGH,(AV:N/AC:L/Au:S/C:C/I:C/A:C)
CVE-2020-9054,9.8 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,10.0 HIGH,(AV:N/AC:L/Au:N/C:C/I:C/A:C)
CVE-2021-30883,7.8 HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,9.3 HIGH,(AV:N/AC:M/Au:N/C:C/I:C/A:C)
CVE-2014-6271,9.8 CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,10.0 HIGH,(AV:N/AC:L/Au:N/C:C/I:C/A:C)
CVE-2021-25297,8.8 HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,9.0 HIGH,(AV:N/AC:L/Au:S/C:C/I:C/A:C)
CVE-2018-7841,9.8 CRITICAL,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,7.5 HIGH,(AV:N/AC:L/Au:N/C:P/I:P/A:P)
